Global Batch Size: 4096
Micro Batch Size (B): 128
Number of GPUs: 8
Gradient Accumulation Steps: 4
Decay params: 52 tensors, 86,444,544 elements
Non-decay params: 100 tensors, 123,112 elements
Using fused AdamW: True
RESUMING FROM STEP 10001 | New Max LR: 0.001
RESUME DEBUG: Batch Labels: tensor([586,  81, 235, 603, 408, 612, 803, 397,  16,  50])
RESUME DEBUG: Pixel Mean: -0.0127, Std: 1.1915
step 10001 | loss: 6.842347 | lr 8.2919e-04 | norm: 4.9667 | dt: 64493.22ms | img/sec: 63.51
step 10157 | loss: 6.757143 | lr 8.2188e-04 | norm: 57.5685 | dt: 1437.08ms | img/sec: 2850.23
step 10158 | loss: 6.769553 | lr 8.2183e-04 | norm: 5.0388 | dt: 4287.64ms | img/sec: 955.30
step 10159 | loss: 6.757138 | lr 8.2178e-04 | norm: 9.1555 | dt: 1376.29ms | img/sec: 2976.11
step 10160 | loss: 6.773808 | lr 8.2174e-04 | norm: 18.0988 | dt: 1591.92ms | img/sec: 2573.00
step 10161 | loss: 6.771643 | lr 8.2169e-04 | norm: 6.3521 | dt: 3052.92ms | img/sec: 1341.67
step 10162 | loss: 6.780131 | lr 8.2164e-04 | norm: 3.8656 | dt: 1655.73ms | img/sec: 2473.83
step 10163 | loss: 6.779453 | lr 8.2159e-04 | norm: 3.7107 | dt: 2500.22ms | img/sec: 1638.25
step 10164 | loss: 6.753945 | lr 8.2155e-04 | norm: 5.1837 | dt: 1923.54ms | img/sec: 2129.41
step 10165 | loss: 6.814738 | lr 8.2150e-04 | norm: 3.2490 | dt: 1469.78ms | img/sec: 2786.82
step 10166 | loss: 6.794402 | lr 8.2145e-04 | norm: 3.2113 | dt: 1497.84ms | img/sec: 2734.60
step 10167 | loss: 6.769109 | lr 8.2140e-04 | norm: 6.5609 | dt: 1578.65ms | img/sec: 2594.63
step 10168 | loss: 6.754354 | lr 8.2136e-04 | norm: 13.7644 | dt: 1561.59ms | img/sec: 2622.97
step 10169 | loss: 6.771005 | lr 8.2131e-04 | norm: 13.6586 | dt: 1640.45ms | img/sec: 2496.88
step 10170 | loss: 6.809173 | lr 8.2126e-04 | norm: 2.1862 | dt: 1511.87ms | img/sec: 2709.22
step 10171 | loss: 6.759836 | lr 8.2122e-04 | norm: 4.9728 | dt: 1488.08ms | img/sec: 2752.54
step 10172 | loss: 6.756519 | lr 8.2117e-04 | norm: 2.4813 | dt: 1519.20ms | img/sec: 2696.15
