Global Batch Size: 4096
Micro Batch Size (B): 1024
Number of GPUs: 1
Gradient Accumulation Steps: 4
/venv/main/lib/python3.12/site-packages/webdataset/compat.py:381: UserWarning: set WebDataset(shardshuffle=...) to a positive integer or 0 or False
  warnings.warn("set WebDataset(shardshuffle=...) to a positive integer or 0 or False")
Decay params: 52 tensors, 86,490,624 elements
Non-decay params: 100 tensors, 123,112 elements
Using fused AdamW: True
SOTA SPRINT: Weights successfully mapped (File -> Model).
Resuming from step 105139. Total tensors loaded: 152
step 105243 | loss: 2.553433 | lr 1.9783e-05 | norm: 0.4833 | dt: 2083.51ms | img/sec: 1965.91
step 105244 | loss: 2.499781 | lr 1.9778e-05 | norm: 0.4819 | dt: 2194.23ms | img/sec: 1866.72
step 105245 | loss: 2.452694 | lr 1.9774e-05 | norm: 0.4807 | dt: 2058.15ms | img/sec: 1990.14
step 105246 | loss: 2.429064 | lr 1.9770e-05 | norm: 0.4768 | dt: 2108.13ms | img/sec: 1942.95
step 105247 | loss: 2.505464 | lr 1.9766e-05 | norm: 0.4774 | dt: 2073.95ms | img/sec: 1974.98
step 105248 | loss: 2.489882 | lr 1.9761e-05 | norm: 0.5037 | dt: 2088.28ms | img/sec: 1961.42
step 105249 | loss: 2.430064 | lr 1.9757e-05 | norm: 0.4754 | dt: 2067.16ms | img/sec: 1981.46
step 105250 | loss: 2.489335 | lr 1.9752e-05 | norm: 0.4852 | dt: 2165.16ms | img/sec: 1891.78
step 105251 | loss: 2.493340 | lr 1.9748e-05 | norm: 0.4866 | dt: 2069.97ms | img/sec: 1978.77
step 105252 | loss: 2.485831 | lr 1.9743e-05 | norm: 0.4804 | dt: 2158.38ms | img/sec: 1897.72
step 105253 | loss: 2.519745 | lr 1.9739e-05 | norm: 0.4927 | dt: 2113.57ms | img/sec: 1937.95
step 105254 | loss: 2.473836 | lr 1.9734e-05 | norm: 0.4828 | dt: 2169.07ms | img/sec: 1888.37
step 105255 | loss: 2.457295 | lr 1.9730e-05 | norm: 0.4815 | dt: 2085.09ms | img/sec: 1964.43
step 105256 | loss: 2.473139 | lr 1.9725e-05 | norm: 0.4741 | dt: 2085.26ms | img/sec: 1964.26
step 105257 | loss: 2.437718 | lr 1.9720e-05 | norm: 0.4784 | dt: 2081.60ms | img/sec: 1967.72
step 105258 | loss: 2.442115 | lr 1.9716e-05 | norm: 0.4748 | dt: 2093.68ms | img/sec: 1956.36
step 105259 | loss: 2.545571 | lr 1.9711e-05 | norm: 0.4953 | dt: 2139.49ms | img/sec: 1914.47
step 105260 | loss: 2.500364 | lr 1.9706e-05 | norm: 0.4825 | dt: 2065.75ms | img/sec: 1982.81
step 105261 | loss: 2.495783 | lr 1.9701e-05 | norm: 0.4804 | dt: 2070.55ms | img/sec: 1978.22
step 105262 | loss: 2.501816 | lr 1.9696e-05 | norm: 0.4824 | dt: 2123.62ms | img/sec: 1928.78
step 105263 | loss: 2.474068 | lr 1.9691e-05 | norm: 0.4864 | dt: 2192.54ms | img/sec: 1868.15
step 105264 | loss: 2.496813 | lr 1.9686e-05 | norm: 0.4872 | dt: 2294.15ms | img/sec: 1785.41
step 105265 | loss: 2.442660 | lr 1.9681e-05 | norm: 0.4833 | dt: 2167.06ms | img/sec: 1890.12
step 105266 | loss: 2.467138 | lr 1.9676e-05 | norm: 0.4856 | dt: 2062.43ms | img/sec: 1986.00
step 105267 | loss: 2.504553 | lr 1.9671e-05 | norm: 0.4911 | dt: 2065.43ms | img/sec: 1983.12
step 105268 | loss: 2.507231 | lr 1.9666e-05 | norm: 0.4903 | dt: 2077.95ms | img/sec: 1971.18
step 105269 | loss: 2.457085 | lr 1.9661e-05 | norm: 0.4840 | dt: 2068.00ms | img/sec: 1980.66
step 105270 | loss: 2.449915 | lr 1.9656e-05 | norm: 0.4844 | dt: 2092.97ms | img/sec: 1957.03
step 105271 | loss: 2.451797 | lr 1.9651e-05 | norm: 0.4817 | dt: 2123.77ms | img/sec: 1928.64
