Global Batch Size: 4096
Micro Batch Size (B): 1024
Number of GPUs: 1
Gradient Accumulation Steps: 4
/venv/main/lib/python3.12/site-packages/webdataset/compat.py:381: UserWarning: set WebDataset(shardshuffle=...) to a positive integer or 0 or False
  warnings.warn("set WebDataset(shardshuffle=...) to a positive integer or 0 or False")
Decay params: 52 tensors, 86,444,544 elements
Non-decay params: 100 tensors, 123,112 elements
Using fused AdamW: True
SOTA SPRINT: Weights successfully mapped (File -> Model).
Resuming from step 93599. Total tensors loaded: 152
step 93714 | loss: 2.386418 | lr 5.5769e-04 | norm: 1.8705 | dt: 1812.36ms | img/sec: 2260.04
step 93715 | loss: 2.435610 | lr 5.6250e-04 | norm: 2.2015 | dt: 1683.79ms | img/sec: 2432.61
step 93716 | loss: 2.396101 | lr 5.6731e-04 | norm: 2.0340 | dt: 1737.39ms | img/sec: 2357.56
step 93717 | loss: 2.416100 | lr 5.7212e-04 | norm: 2.2165 | dt: 1699.94ms | img/sec: 2409.50
step 93718 | loss: 2.392558 | lr 5.7692e-04 | norm: 1.9827 | dt: 1651.26ms | img/sec: 2480.53
step 93719 | loss: 2.308084 | lr 5.8173e-04 | norm: 1.7702 | dt: 1686.04ms | img/sec: 2429.36
step 93720 | loss: 2.398901 | lr 5.8654e-04 | norm: 1.9574 | dt: 1682.66ms | img/sec: 2434.24
step 93721 | loss: 2.527370 | lr 5.9135e-04 | norm: 2.1895 | dt: 1706.54ms | img/sec: 2400.17
step 93722 | loss: 2.393852 | lr 5.9615e-04 | norm: 1.7611 | dt: 1717.20ms | img/sec: 2385.28
step 93723 | loss: 2.424898 | lr 6.0096e-04 | norm: 1.7895 | dt: 1679.51ms | img/sec: 2438.81
step 93724 | loss: 2.402933 | lr 6.0577e-04 | norm: 1.8281 | dt: 1651.78ms | img/sec: 2479.75
step 93725 | loss: 2.431803 | lr 6.1058e-04 | norm: 3.2229 | dt: 1770.57ms | img/sec: 2313.37
step 93726 | loss: 2.499451 | lr 6.1538e-04 | norm: 2.1203 | dt: 1655.26ms | img/sec: 2474.54
step 93727 | loss: 2.562872 | lr 6.2019e-04 | norm: 3.1326 | dt: 1656.45ms | img/sec: 2472.76
step 93728 | loss: 2.402114 | lr 6.2500e-04 | norm: 1.9375 | dt: 1755.45ms | img/sec: 2333.30
step 93729 | loss: 2.524795 | lr 6.2981e-04 | norm: 2.2144 | dt: 1708.96ms | img/sec: 2396.78
step 93730 | loss: 2.460895 | lr 6.3462e-04 | norm: 2.3616 | dt: 1665.83ms | img/sec: 2458.84
step 93731 | loss: 2.528990 | lr 6.3942e-04 | norm: 2.6102 | dt: 1659.24ms | img/sec: 2468.60
step 93732 | loss: 2.437311 | lr 6.4423e-04 | norm: 1.8745 | dt: 1669.09ms | img/sec: 2454.03
step 93733 | loss: 2.484207 | lr 6.4904e-04 | norm: 3.0279 | dt: 1749.15ms | img/sec: 2341.72
step 93734 | loss: 2.536701 | lr 6.5385e-04 | norm: 2.2395 | dt: 1696.16ms | img/sec: 2414.87
step 93735 | loss: 2.545865 | lr 6.5865e-04 | norm: 1.9860 | dt: 1704.57ms | img/sec: 2402.95
step 93736 | loss: 2.515177 | lr 6.6346e-04 | norm: 1.7314 | dt: 1705.38ms | img/sec: 2401.81
step 93737 | loss: 2.378389 | lr 6.6827e-04 | norm: 1.7136 | dt: 1649.19ms | img/sec: 2483.64
step 93738 | loss: 2.510357 | lr 6.7308e-04 | norm: 1.9148 | dt: 1731.35ms | img/sec: 2365.79
step 93739 | loss: 2.429243 | lr 6.7788e-04 | norm: 1.7520 | dt: 1660.71ms | img/sec: 2466.41
